index,id,title,group,has_purpose,priority,visual_status,poster_ref_status,safety_tags,issue_codes,fields,findings,recommended_actions,original_purpose,proposed_purpose,original_steps,proposed_steps,poster_src
489,ea_hammer_strength_mts_iso_lateral_biceps_curl_alternate_arm,Hammer Strength MTS Iso-lateral Biceps Curl Alternate Arm,Biceps,False,P2,NOT_VERIFIED,PASS,elbow,DUPLICATE_STEPS,Title↔Steps,"Steps are exactly identical to another differently named exercise: Hammer Strength MTS Iso-lateral Biceps Curl Alternate Arm, Hammer Strength MTS Iso-lateral Biceps Curl Arm Alternating.","Check whether these are true variants. If the movement differs, rewrite the distinguishing setup/execution cue; if identical, consider alias/dedup metadata.",[not written — H3 pending],[not generated in this audit — H3 pending],"Sit on the Hammer Strength MTS Iso-Lateral Biceps Curl machine with your feet flat on the floor. Grasp the handles with both hands, palms facing up, and position your elbows on the pads || Curl one handle by bending your elbow, bringing your hand towards your shoulder while keeping the other arm extended || Squeeze your biceps at the top of the movement and slowly lower the handle back to the starting position with control || Repeat with the other arm, alternating arms for the desired number of repetitions","Sit on the Hammer Strength MTS Iso-Lateral Biceps Curl machine with your feet flat on the floor. Grasp the handles with both hands, palms facing up, and position your elbows on the pads || Curl one handle by bending your elbow, bringing your hand towards your shoulder while keeping the other arm extended || Squeeze your biceps at the top of the movement and slowly lower the handle back to the starting position with control || Repeat with the other arm, alternating arms for the desired number of repetitions",../../mobile/assets/posters/girl/ea_hammer_strength_mts_iso_lateral_biceps_curl_alternate_arm.jpg
490,ea_hammer_strength_mts_iso_lateral_biceps_curl_arm_alternating,Hammer Strength MTS Iso-lateral Biceps Curl Arm Alternating,Biceps,False,P2,NOT_VERIFIED,PASS,elbow,DUPLICATE_STEPS,Title↔Steps,"Steps are exactly identical to another differently named exercise: Hammer Strength MTS Iso-lateral Biceps Curl Alternate Arm, Hammer Strength MTS Iso-lateral Biceps Curl Arm Alternating.","Check whether these are true variants. If the movement differs, rewrite the distinguishing setup/execution cue; if identical, consider alias/dedup metadata.",[not written — H3 pending],[not generated in this audit — H3 pending],"Sit on the Hammer Strength MTS Iso-Lateral Biceps Curl machine with your feet flat on the floor. Grasp the handles with both hands, palms facing up, and position your elbows on the pads || Curl one handle by bending your elbow, bringing your hand towards your shoulder while keeping the other arm extended || Squeeze your biceps at the top of the movement and slowly lower the handle back to the starting position with control || Repeat with the other arm, alternating arms for the desired number of repetitions","Sit on the Hammer Strength MTS Iso-Lateral Biceps Curl machine with your feet flat on the floor. Grasp the handles with both hands, palms facing up, and position your elbows on the pads || Curl one handle by bending your elbow, bringing your hand towards your shoulder while keeping the other arm extended || Squeeze your biceps at the top of the movement and slowly lower the handle back to the starting position with control || Repeat with the other arm, alternating arms for the desired number of repetitions",../../mobile/assets/posters/men/ea_hammer_strength_mts_iso_lateral_biceps_curl_arm_alternating.jpg
491,ea_hammer_strength_mts_iso_lateral_biceps_curl_both_arm,Hammer Strength MTS Iso-lateral Biceps Curl Both Arm,Biceps,False,PASS,NOT_VERIFIED,PASS,elbow,,,No targeted pattern issue detected,None,[not written — H3 pending],[not generated in this audit — H3 pending],"Sit on the Hammer Strength MTS Iso-Lateral Biceps Curl machine with your feet flat on the floor. Grasp the handles with both hands, palms facing up, and position your elbows on the pads || Curl both handles by bending your elbows, bringing your hands towards your shoulders || Squeeze your biceps at the top of the movement and slowly lower the handles back to the starting position with control || Repeat for the desired number of repetitions","Sit on the Hammer Strength MTS Iso-Lateral Biceps Curl machine with your feet flat on the floor. Grasp the handles with both hands, palms facing up, and position your elbows on the pads || Curl both handles by bending your elbows, bringing your hands towards your shoulders || Squeeze your biceps at the top of the movement and slowly lower the handles back to the starting position with control || Repeat for the desired number of repetitions",../../mobile/assets/posters/girl/ea_hammer_strength_mts_iso_lateral_biceps_curl_both_arm.jpg
492,ea_hammer_strength_mts_iso_lateral_biceps_curl_single_arm,Hammer Strength MTS Iso-lateral Biceps Curl Single Arm,Biceps,False,PASS,NOT_VERIFIED,PASS,elbow,,,No targeted pattern issue detected,None,[not written — H3 pending],[not generated in this audit — H3 pending],"Sit on the Hammer Strength MTS Iso-Lateral Biceps Curl machine with your feet flat on the floor. Grasp the handles with both hands, palms facing up, and position your elbows on the pads || Curl the right handle by bending your elbow, bringing your hand towards your shoulder while keeping the other arm extended || Squeeze your biceps at the top of the movement and slowly lower the handle back to the starting position with control || Repeat with the same arm for the desired number of repetitions and then switch to your left arm and repeat","Sit on the Hammer Strength MTS Iso-Lateral Biceps Curl machine with your feet flat on the floor. Grasp the handles with both hands, palms facing up, and position your elbows on the pads || Curl the right handle by bending your elbow, bringing your hand towards your shoulder while keeping the other arm extended || Squeeze your biceps at the top of the movement and slowly lower the handle back to the starting position with control || Repeat with the same arm for the desired number of repetitions and then switch to your left arm and repeat",../../mobile/assets/posters/girl/ea_hammer_strength_mts_iso_lateral_biceps_curl_single_arm.jpg
493,ea_incline_dumbbell_curl,Incline Dumbbell Curl,Biceps,False,PASS,NOT_VERIFIED,PASS,elbow,,,No targeted pattern issue detected,None,[not written — H3 pending],[not generated in this audit — H3 pending],"Set an adjustable bench to a 45-degree incline and sit back against it with your feet flat on the floor. Hold a dumbbell in each hand with your arms fully extended down by your sides, palms facing forward (supinated grip) || Engage your core and keep your elbows close to your torso. Slowly curl both dumbbells up towards your shoulders simultaneously, maintaining the supinated grip with your palms facing upward || Squeeze your biceps at the top of the movement, then slowly lower the dumbbells back to the starting position with control || Repeat for the desired number of repetitions","Set an adjustable bench to a 45-degree incline and sit back against it with your feet flat on the floor. Hold a dumbbell in each hand with your arms fully extended down by your sides, palms facing forward (supinated grip) || Engage your core and keep your elbows close to your torso. Slowly curl both dumbbells up towards your shoulders simultaneously, maintaining the supinated grip with your palms facing upward || Squeeze your biceps at the top of the movement, then slowly lower the dumbbells back to the starting position with control || Repeat for the desired number of repetitions",../../mobile/assets/posters/men/ea_incline_dumbbell_curl.jpg
494,ea_kettlebell_concentration_curl,Kettlebell Concentration Curl,Biceps,True,PASS,PASS,PASS,elbow,,,No targeted pattern issue detected,None,"Bracing the elbow against the inside of the thigh removes every way of cheating — you cannot swing, lean back or shrug the weight up. What is left is the biceps alone, which is why this is the exercise people use when an arm is visibly lagging.","Bracing the elbow against the inside of the thigh removes every way of cheating — you cannot swing, lean back or shrug the weight up. What is left is the biceps alone, which is why this is the exercise people use when an arm is visibly lagging.","Sit on a bench with your feet wide and lean forward slightly from the hips || Hold the kettlebell in one hand and brace the back of that upper arm against the inside of the same thigh || Let the arm hang straight down so the bell is just off the floor || Curl the bell up toward your shoulder without letting the elbow leave the thigh || Lower all the way until the arm is straight, then repeat and switch sides","Sit on a bench with your feet wide and lean forward slightly from the hips || Hold the kettlebell in one hand and brace the back of that upper arm against the inside of the same thigh || Let the arm hang straight down so the bell is just off the floor || Curl the bell up toward your shoulder without letting the elbow leave the thigh || Lower all the way until the arm is straight, then repeat and switch sides",../../mobile/assets/posters/girl/ea_kettlebell_concentration_curl.jpg
495,ea_kettlebell_curl,Kettlebell Curl,Biceps,True,P2,PASS,PASS,elbow,PRIOR_REAUDIT,Purpose/Steps,"Accepted exception: 'grip training you get for free' is ordinary idiom for an incidental training effect, not a safety or medical promise. No content change required for this phrase.",Re-review this card before H3 propagation.,"The bell hangs below your hand rather than sitting in it, so the weight pulls the wrist backwards the whole way up. Your forearm has to work to keep the wrist straight, which is grip training you get for free alongside the biceps.",Trains elbow flexion and the biceps through the Kettlebell Curl movement. Keep the upper arm controlled and use a load you can move without swinging.,"Stand with a kettlebell in each hand, handles gripped so the bells hang in front of your thighs || Keep your wrists straight and locked — do not let the bells bend them back || Curl both bells up toward your shoulders with the elbows against your sides || Stop when your forearms are vertical and the bells rest against your forearms || Lower under control to full arm extension before the next repetition","Stand with a kettlebell in each hand, handles gripped so the bells hang in front of your thighs || Keep your wrists straight and locked — do not let the bells bend them back || Curl both bells up toward your shoulders with the elbows against your sides || Stop when your forearms are vertical and the bells rest against your forearms || Lower under control to full arm extension before the next repetition",../../mobile/assets/posters/girl/ea_kettlebell_curl.jpg
496,ea_kettlebell_goblet_curl,Kettlebell Goblet Curl,Biceps,True,PASS,PASS,PASS,elbow,,,No targeted pattern issue detected,None,"Holding one bell with both hands keeps the load exactly in front of your chest, so a single heavy weight can be curled without either wrist twisting out of line. It is the simplest way to add load when two lighter bells are all you have.","Holding one bell with both hands keeps the load exactly in front of your chest, so a single heavy weight can be curled without either wrist twisting out of line. It is the simplest way to add load when two lighter bells are all you have.","Stand tall and hold one kettlebell by the horns with both hands, arms hanging in front of you || Keep the bell upside down or upright — whichever lets both wrists stay straight || Press your elbows into your ribs and brace your stomach || Curl the bell up to chest height using only the elbows || Lower slowly all the way down without letting your body lean back","Stand tall and hold one kettlebell by the horns with both hands, arms hanging in front of you || Keep the bell upside down or upright — whichever lets both wrists stay straight || Press your elbows into your ribs and brace your stomach || Curl the bell up to chest height using only the elbows || Lower slowly all the way down without letting your body lean back",../../mobile/assets/posters/girl/ea_kettlebell_goblet_curl.jpg
497,ea_kettlebell_preacher_curl,Kettlebell Preacher Curl,Biceps,True,PASS,PASS,PASS,elbow,,,No targeted pattern issue detected,None,"The pad under your arm stops the elbow from travelling, which is the one thing that lets the shoulder help on a standing curl. With that route closed the biceps has to finish the lift from the hardest position — arm nearly straight.","The pad under your arm stops the elbow from travelling, which is the one thing that lets the shoulder help on a standing curl. With that route closed the biceps has to finish the lift from the hardest position — arm nearly straight.","Set the preacher bench so the top of the pad sits under your armpit when you sit down || Lay the back of one upper arm flat along the pad and hold the kettlebell in that hand || Straighten the arm until you feel the stretch, but do not let the elbow lock hard || Curl the bell up toward your shoulder, keeping the arm glued to the pad || Lower slowly to the stretched position and repeat, then change arms","Set the preacher bench so the top of the pad sits under your armpit when you sit down || Lay the back of one upper arm flat along the pad and hold the kettlebell in that hand || Straighten the arm until you feel the stretch, but do not let the elbow lock hard || Curl the bell up toward your shoulder, keeping the arm glued to the pad || Lower slowly to the stretched position and repeat, then change arms",../../mobile/assets/posters/girl/ea_kettlebell_preacher_curl.jpg
498,ea_kettlebell_single_arm_curl,Kettlebell Single Arm Curl,Biceps,True,PASS,PASS,PASS,elbow,,,No targeted pattern issue detected,None,"One arm at a time exposes the difference between your sides, which a two-handed curl always hides. Working the weaker arm to the same number of clean repetitions is how that gap actually closes.","One arm at a time exposes the difference between your sides, which a two-handed curl always hides. Working the weaker arm to the same number of clean repetitions is how that gap actually closes.","Stand with your feet hip width apart and a kettlebell hanging in one hand || Put the free hand on your hip so you can feel if your torso starts to lean || Curl the bell up toward the shoulder with the elbow fixed at your side || Lower it under control until the arm is fully straight || Finish all repetitions on that arm, then match the same number on the other side","Stand with your feet hip width apart and a kettlebell hanging in one hand || Put the free hand on your hip so you can feel if your torso starts to lean || Curl the bell up toward the shoulder with the elbow fixed at your side || Lower it under control until the arm is fully straight || Finish all repetitions on that arm, then match the same number on the other side",../../mobile/assets/posters/girl/ea_kettlebell_single_arm_curl.jpg
499,ea_landmine_bicep_curl,Landmine Bicep Curl,Biceps,True,PASS,PASS,PASS,elbow,,,No targeted pattern issue detected,None,"The bar swings on a fixed arc, so the resistance changes as you rise and the top of the curl stays heavy instead of going weightless. Both hands share one bar, which lets you load more than a pair of dumbbells you can control.","The bar swings on a fixed arc, so the resistance changes as you rise and the top of the curl stays heavy instead of going weightless. Both hands share one bar, which lets you load more than a pair of dumbbells you can control.","Load one end of a barbell in the landmine holder and stand facing it || Pick up the loaded end with both hands cupped underneath it, arms straight || Stand tall with elbows against your ribs and the bar resting in your palms || Curl the end of the bar up toward your chin, following the arc it wants to travel || Lower slowly along the same arc until your arms are straight again","Load one end of a barbell in the landmine holder and stand facing it || Pick up the loaded end with both hands cupped underneath it, arms straight || Stand tall with elbows against your ribs and the bar resting in your palms || Curl the end of the bar up toward your chin, following the arc it wants to travel || Lower slowly along the same arc until your arms are straight again",../../mobile/assets/posters/girl/ea_landmine_bicep_curl.jpg
500,ea_landmine_concentration_curl,Landmine Concentration Curl,Biceps,True,PASS,PASS,PASS,elbow,,,No targeted pattern issue detected,None,"Combines the elbow brace of a concentration curl with the landmine's changing resistance, so the hardest part lands near the top rather than halfway. Useful when a dumbbell concentration curl has stopped feeling like anything.","Combines the elbow brace of a concentration curl with the landmine's changing resistance, so the hardest part lands near the top rather than halfway. Useful when a dumbbell concentration curl has stopped feeling like anything.","Set a barbell in the landmine and sit or half-kneel beside the loaded end || Grip the end of the bar in one hand and brace that upper arm against the inside of your thigh || Let the arm hang so the bar is at its lowest point || Curl the bar up toward the shoulder, keeping the elbow pressed into the thigh || Lower under control to a straight arm, then repeat and switch sides","Set a barbell in the landmine and sit or half-kneel beside the loaded end || Grip the end of the bar in one hand and brace that upper arm against the inside of your thigh || Let the arm hang so the bar is at its lowest point || Curl the bar up toward the shoulder, keeping the elbow pressed into the thigh || Lower under control to a straight arm, then repeat and switch sides",../../mobile/assets/posters/girl/ea_landmine_concentration_curl.jpg
501,ea_low_resistance_band_lying_bicep_curl,Low Resistance Band Lying Bicep Curl,Biceps,False,PASS,NOT_VERIFIED,PASS,elbow,,,No targeted pattern issue detected,None,[not written — H3 pending],[not generated in this audit — H3 pending],"Attach the middle of the resistance band to a low anchor point in front of you. Lie on a bench with your feet flat on the floor, holding a handle in each hand with your palms facing up and your arms extended straight by your sides || Curl the handles towards your shoulders by bending your elbows, keeping your upper arms stationary || Slowly return to the starting position with control, fully extending your arms || Repeat for the desired number of repetitions","Attach the middle of the resistance band to a low anchor point in front of you. Lie on a bench with your feet flat on the floor, holding a handle in each hand with your palms facing up and your arms extended straight by your sides || Curl the handles towards your shoulders by bending your elbows, keeping your upper arms stationary || Slowly return to the starting position with control, fully extending your arms || Repeat for the desired number of repetitions",../../mobile/assets/posters/men/ea_low_resistance_band_lying_bicep_curl.jpg
502,ea_low_resistance_band_lying_bicep_curl_half_repetition,Low Resistance Band Lying Bicep Curl Half Repetition,Biceps,False,PASS,NOT_VERIFIED,PASS,elbow,,,No targeted pattern issue detected,None,[not written — H3 pending],[not generated in this audit — H3 pending],"Attach the middle of the resistance band to a low anchor point in front of you. Lie on a bench with your feet flat on the floor, holding a handle in each hand with your palms facing up and your arms extended straight by your sides || Curl the handles halfway towards your shoulders by bending your elbows until your forearms are parallel to the floor, keeping your upper arms stationary || Slowly return to the starting position with control, fully extending your arms || Repeat for the desired number of repetitions","Attach the middle of the resistance band to a low anchor point in front of you. Lie on a bench with your feet flat on the floor, holding a handle in each hand with your palms facing up and your arms extended straight by your sides || Curl the handles halfway towards your shoulders by bending your elbows until your forearms are parallel to the floor, keeping your upper arms stationary || Slowly return to the starting position with control, fully extending your arms || Repeat for the desired number of repetitions",../../mobile/assets/posters/men/ea_low_resistance_band_lying_bicep_curl_half_repetition.jpg
503,ea_plate_curl_to_overhead_press,Plate Curl to Overhead Press,Biceps,True,PASS,PASS,PASS,elbow; shoulder,,,No targeted pattern issue detected,None,"Two movements on one breath: the curl builds the arms, the press builds the shoulders, and the plate held out in front makes your stomach work to stop you leaning back. A whole upper body in one exercise when a single plate is all the equipment you have.","Two movements on one breath: the curl builds the arms, the press builds the shoulders, and the plate held out in front makes your stomach work to stop you leaning back. A whole upper body in one exercise when a single plate is all the equipment you have.","Hold a weight plate at the sides with both hands, arms hanging in front of your hips || Curl the plate up to chest height, keeping your elbows close to your body || From there press it straight overhead until your arms lock out || Lower the plate back to your chest with control || Uncurl it down to your hips — that is one repetition","Hold a weight plate at the sides with both hands, arms hanging in front of your hips || Curl the plate up to chest height, keeping your elbows close to your body || From there press it straight overhead until your arms lock out || Lower the plate back to your chest with control || Uncurl it down to your hips — that is one repetition",../../mobile/assets/posters/girl/ea_plate_curl_to_overhead_press.jpg
504,ea_preacher_curl_dumbbells_simultaneous,Preacher Curl Dumbbells Simultaneous,Biceps,False,PASS,NOT_VERIFIED,PASS,elbow,,,No targeted pattern issue detected,None,[not written — H3 pending],[not generated in this audit — H3 pending],"Sit on a preacher bench with your feet flat on the floor, holding a dumbbell in each hand with an underhand grip (palms facing up), and your arms extended over the preacher bench pad || Engage your core and curl both dumbbells towards your shoulders by bending your elbows, keeping your upper arms pressed against the pad || Squeeze your biceps at the top of the movement, ensuring the dumbbells reach shoulder height || Slowly lower the dumbbells back to the starting position, fully extending your arms. Repeat for the desired number of repetitions","Sit on a preacher bench with your feet flat on the floor, holding a dumbbell in each hand with an underhand grip (palms facing up), and your arms extended over the preacher bench pad || Engage your core and curl both dumbbells towards your shoulders by bending your elbows, keeping your upper arms pressed against the pad || Squeeze your biceps at the top of the movement, ensuring the dumbbells reach shoulder height || Slowly lower the dumbbells back to the starting position, fully extending your arms. Repeat for the desired number of repetitions",../../mobile/assets/posters/men/ea_preacher_curl_dumbbells_simultaneous.jpg
505,ea_preacher_curl_ez_bar,Preacher Curl Ez Bar,Biceps,False,PASS,NOT_VERIFIED,PASS,elbow,,,No targeted pattern issue detected,None,[not written — H3 pending],[not generated in this audit — H3 pending],"Sit on a preacher bench with your feet flat on the floor, holding an EZ bar with an underhand grip (palms facing up), shoulder-width wide, and your arms resting on the preacher pad || Curl the EZ bar towards your shoulders by bending your elbows, keeping your upper arms pressed against the pad || Squeeze your biceps at the top of the movement, ensuring the bar reaches shoulder height || Slowly lower the bar back to the starting position with control, fully extending your arms. Repeat for the desired number of repetitions","Sit on a preacher bench with your feet flat on the floor, holding an EZ bar with an underhand grip (palms facing up), shoulder-width wide, and your arms resting on the preacher pad || Curl the EZ bar towards your shoulders by bending your elbows, keeping your upper arms pressed against the pad || Squeeze your biceps at the top of the movement, ensuring the bar reaches shoulder height || Slowly lower the bar back to the starting position with control, fully extending your arms. Repeat for the desired number of repetitions",../../mobile/assets/posters/men/ea_preacher_curl_ez_bar.jpg
506,ea_preacher_curl_ez_bar_close_grip,Preacher Curl Ez Bar Close Grip,Biceps,False,PASS,NOT_VERIFIED,PASS,elbow,,,No targeted pattern issue detected,None,[not written — H3 pending],[not generated in this audit — H3 pending],"Sit on a preacher bench with your feet flat on the floor, holding an EZ bar with an underhand grip (palms facing up), just closer than shoulder-width wide, and your arms resting on the preacher pad || Curl the EZ bar towards your shoulders by bending your elbows, keeping your upper arms pressed against the pad || Squeeze your biceps at the top of the movement, ensuring the bar reaches shoulder height || Slowly lower the bar back to the starting position with control, fully extending your arms. Repeat for the desired number of repetitions","Sit on a preacher bench with your feet flat on the floor, holding an EZ bar with an underhand grip (palms facing up), just closer than shoulder-width wide, and your arms resting on the preacher pad || Curl the EZ bar towards your shoulders by bending your elbows, keeping your upper arms pressed against the pad || Squeeze your biceps at the top of the movement, ensuring the bar reaches shoulder height || Slowly lower the bar back to the starting position with control, fully extending your arms. Repeat for the desired number of repetitions",../../mobile/assets/posters/men/ea_preacher_curl_ez_bar_close_grip.jpg
507,ea_preacher_curl_ez_bar_wide_grip,Preacher Curl Ez Bar Wide Grip,Biceps,False,PASS,NOT_VERIFIED,PASS,elbow,,,No targeted pattern issue detected,None,[not written — H3 pending],[not generated in this audit — H3 pending],"Sit on a preacher bench with your feet flat on the floor, holding an EZ bar with an underhand grip (palms facing up), just wider than shoulder-width wide, and your arms resting on the preacher pad || Curl the EZ bar towards your shoulders by bending your elbows, keeping your upper arms pressed against the pad || Squeeze your biceps at the top of the movement, ensuring the bar reaches shoulder height || Slowly lower the bar back to the starting position with control, fully extending your arms. Repeat for the desired number of repetitions","Sit on a preacher bench with your feet flat on the floor, holding an EZ bar with an underhand grip (palms facing up), just wider than shoulder-width wide, and your arms resting on the preacher pad || Curl the EZ bar towards your shoulders by bending your elbows, keeping your upper arms pressed against the pad || Squeeze your biceps at the top of the movement, ensuring the bar reaches shoulder height || Slowly lower the bar back to the starting position with control, fully extending your arms. Repeat for the desired number of repetitions",../../mobile/assets/posters/men/ea_preacher_curl_ez_bar_wide_grip.jpg
508,ea_reverse_curl_barbell,Reverse Curl Barbell,Biceps,True,PASS,PASS,PASS,elbow; wrist,,,No targeted pattern issue detected,None,Turning the palms down shifts the work off the biceps and onto the muscle underneath it and the top of the forearm — the two things that decide how thick the arm looks from the side and how long your grip lasts.,Turning the palms down shifts the work off the biceps and onto the muscle underneath it and the top of the forearm — the two things that decide how thick the arm looks from the side and how long your grip lasts.,"Take a barbell with an overhand grip, hands about shoulder width apart || Stand tall with the bar resting against your thighs and elbows at your sides || Curl the bar up toward your chest without letting the wrists bend backwards || Stop when your forearms are vertical, keeping the knuckles pointing up || Lower slowly to the thighs — expect to use noticeably less weight than a normal curl","Take a barbell with an overhand grip, hands about shoulder width apart || Stand tall with the bar resting against your thighs and elbows at your sides || Curl the bar up toward your chest without letting the wrists bend backwards || Stop when your forearms are vertical, keeping the knuckles pointing up || Lower slowly to the thighs — expect to use noticeably less weight than a normal curl",../../mobile/assets/posters/men/ea_reverse_curl_barbell.jpg
509,ea_reverse_grip_resistance_band_simultaneous,Reverse Grip Resistance Band Simultaneous,Biceps,False,PASS,NOT_VERIFIED,PASS,,,,No targeted pattern issue detected,None,[not written — H3 pending],[not generated in this audit — H3 pending],"Stand with your feet shoulder-width apart and place the middle of a resistance band under both feet. Hold one handle in each hand with an overhand grip (palms facing down), arms fully extended by your sides || Simultaneously curl both handles upward towards your shoulders by bending your elbows and squeezing your biceps at the top of the movement || Slowly lower the handles back to the starting position with control, fully extending your arms || Repeat for the desired number of repetitions","Stand with your feet shoulder-width apart and place the middle of a resistance band under both feet. Hold one handle in each hand with an overhand grip (palms facing down), arms fully extended by your sides || Simultaneously curl both handles upward towards your shoulders by bending your elbows and squeezing your biceps at the top of the movement || Slowly lower the handles back to the starting position with control, fully extending your arms || Repeat for the desired number of repetitions",../../mobile/assets/posters/men/ea_reverse_grip_resistance_band_simultaneous.jpg
510,ea_single_dumbbell_biceps_curls,Single Dumbbell Biceps Curls,Biceps,False,PASS,NOT_VERIFIED,PASS,elbow,,,No targeted pattern issue detected,None,[not written — H3 pending],[not generated in this audit — H3 pending],"Stand with your feet shoulder-width apart, holding a dumbbell with both hands using an underhand grip (palm facing up), holding it from under the plates. Let the dumbbell hang down in front of your hips || Curl the dumbbell upward towards your chest by bending your elbow, focusing on engaging your biceps || Lower the dumbbell back to the starting position with control. Repeat for the desired number of repetitions","Stand with your feet shoulder-width apart, holding a dumbbell with both hands using an underhand grip (palm facing up), holding it from under the plates. Let the dumbbell hang down in front of your hips || Curl the dumbbell upward towards your chest by bending your elbow, focusing on engaging your biceps || Lower the dumbbell back to the starting position with control. Repeat for the desired number of repetitions",../../mobile/assets/posters/men/ea_single_dumbbell_biceps_curls.jpg
511,ea_spider_curl_barbell,Spider Curl Barbell,Biceps,False,PASS,NOT_VERIFIED,PASS,elbow,,,No targeted pattern issue detected,None,[not written — H3 pending],[not generated in this audit — H3 pending],"Set an incline bench at a 45-degree angle and lie face down, ensuring your chest is supported and your feet are firm on the floor. Hold a barbell with an underhand grip and hands shoulder-width apart || Let your arms hang straight down towards the floor, keeping your elbows slightly bent || Curl the barbell towards your shoulders by bending your elbows, keeping your upper arms stationary, and focusing on contracting your biceps || Slowly lower the barbell back to the starting position with control, fully extending your arms. Repeat for the desired number of repetitions","Set an incline bench at a 45-degree angle and lie face down, ensuring your chest is supported and your feet are firm on the floor. Hold a barbell with an underhand grip and hands shoulder-width apart || Let your arms hang straight down towards the floor, keeping your elbows slightly bent || Curl the barbell towards your shoulders by bending your elbows, keeping your upper arms stationary, and focusing on contracting your biceps || Slowly lower the barbell back to the starting position with control, fully extending your arms. Repeat for the desired number of repetitions",../../mobile/assets/posters/men/ea_spider_curl_barbell.jpg
512,ea_spider_curl_dumbbells_simultaneous,Spider Curl Dumbbells Simultaneous,Biceps,False,PASS,NOT_VERIFIED,PASS,elbow,,,No targeted pattern issue detected,None,[not written — H3 pending],[not generated in this audit — H3 pending],"Set an incline bench at a 45-degree angle and lie face down, ensuring your chest is supported and your feet are firm on the floor. Hold a dumbbell in each hand with an underhand grip, hands shoulder-width apart || Let your arms hang straight down towards the floor, keeping your elbows slightly bent || Curl the dumbbells towards your shoulders by bending your elbows, keeping your upper arms stationary, and focusing on contracting your biceps || Slowly lower the dumbbells back to the starting position with control, fully extending your arms. Repeat for the desired number of repetitions","Set an incline bench at a 45-degree angle and lie face down, ensuring your chest is supported and your feet are firm on the floor. Hold a dumbbell in each hand with an underhand grip, hands shoulder-width apart || Let your arms hang straight down towards the floor, keeping your elbows slightly bent || Curl the dumbbells towards your shoulders by bending your elbows, keeping your upper arms stationary, and focusing on contracting your biceps || Slowly lower the dumbbells back to the starting position with control, fully extending your arms. Repeat for the desired number of repetitions",../../mobile/assets/posters/men/ea_spider_curl_dumbbells_simultaneous.jpg
513,ea_spider_curl_ez_bar,Spider Curl Ez Bar,Biceps,False,PASS,NOT_VERIFIED,PASS,elbow,,,No targeted pattern issue detected,None,[not written — H3 pending],[not generated in this audit — H3 pending],"Set an incline bench at a 45-degree angle and lie face down, ensuring your chest is supported and your feet are firm on the floor. Hold an EZ bar with an underhand grip and hands shoulder-width apart || Let your arms hang straight down towards the floor, keeping your elbows slightly bent || Curl the EZ bar towards your shoulders by bending your elbows, keeping your upper arms stationary, and focusing on contracting your biceps || Slowly lower the EZ bar back to the starting position with control, fully extending your arms. Repeat for the desired number of repetitions","Set an incline bench at a 45-degree angle and lie face down, ensuring your chest is supported and your feet are firm on the floor. Hold an EZ bar with an underhand grip and hands shoulder-width apart || Let your arms hang straight down towards the floor, keeping your elbows slightly bent || Curl the EZ bar towards your shoulders by bending your elbows, keeping your upper arms stationary, and focusing on contracting your biceps || Slowly lower the EZ bar back to the starting position with control, fully extending your arms. Repeat for the desired number of repetitions",../../mobile/assets/posters/men/ea_spider_curl_ez_bar.jpg
514,ea_zotman_curls_resistance_band_simultaneous,Zotman Curls Resistance Band Simultaneous,Biceps,False,PASS,NOT_VERIFIED,PASS,elbow,,,No targeted pattern issue detected,None,[not written — H3 pending],[not generated in this audit — H3 pending],"Stand with your feet shoulder-width apart, in the middle of a resistance band, holding the handles with an underhand grip (palms facing forward), arms hanging by your sides || Curl the handles towards your shoulders by bending your elbows and keeping your upper arms stationary || At the top of the curl, rotate your wrists so that your palms face forward (overhand grip), and then lower the handles back down to the starting position with control || Rotate your wrists back to the underhand grip once you reach the bottom of the movement. Repeat for the desired number of repetitions","Stand with your feet shoulder-width apart, in the middle of a resistance band, holding the handles with an underhand grip (palms facing forward), arms hanging by your sides || Curl the handles towards your shoulders by bending your elbows and keeping your upper arms stationary || At the top of the curl, rotate your wrists so that your palms face forward (overhand grip), and then lower the handles back down to the starting position with control || Rotate your wrists back to the underhand grip once you reach the bottom of the movement. Repeat for the desired number of repetitions",../../mobile/assets/posters/men/ea_zotman_curls_resistance_band_simultaneous.jpg
